qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7455,984,154,210,8,16,01:30.8,\N,\N
7456,984,842,5,10,17,01:31.3,\N,\N
7457,984,840,3,18,18,01:31.4,\N,\N
7458,984,828,15,9,19,01:31.6,\N,\N
7459,984,836,15,94,20,01:31.9,\N,\N
7460,985,1,131,44,1,01:34.8,01:33.4,01:33.1
7461,985,20,6,5,2,01:35.4,01:34.1,01:33.3
7462,985,822,131,77,3,01:35.3,01:33.8,01:33.6
7463,985,817,9,3,4,01:36.0,01:34.5,01:33.6
7464,985,8,6,7,5,01:35.6,01:33.8,01:33.6
7465,985,830,9,33,6,01:34.9,01:34.7,01:33.7
7466,985,839,10,31,7,01:35.8,01:35.1,01:34.6
7467,985,832,4,55,8,01:35.5,01:34.9,01:34.9
7468,985,4,1,14,9,01:35.7,01:35.0,01:35.0
7469,985,815,10,11,10,01:36.4,01:34.8,01:35.1
7470,985,13,3,19,11,01:35.6,01:35.2,\N
7471,985,826,5,26,12,01:36.1,01:35.5,\N
7472,985,838,1,2,13,01:36.3,01:35.6,\N
7473,985,154,210,8,14,01:36.8,01:35.9,\N
7474,985,807,4,27,15,01:35.7,\N,\N
7475,985,828,15,9,16,01:36.8,\N,\N
7476,985,840,3,18,17,01:36.9,\N,\N
7477,985,843,5,39,18,01:36.9,\N,\N
7478,985,836,15,94,19,01:37.2,\N,\N
7479,985,825,210,20,20,01:37.4,\N,\N
7480,986,20,6,5,1,01:17.7,01:16.9,01:16.5
7481,986,830,9,33,2,01:17.6,01:16.5,01:16.6
7482,986,1,131,44,3,01:17.5,01:17.0,01:16.9
7483,986,822,131,77,4,01:17.6,01:17.2,01:17.0
7484,986,8,6,7,5,01:18.1,01:17.5,01:17.2
7485,986,839,10,31,6,01:18.3,01:17.8,01:17.4
7486,986,817,9,3,7,01:18.2,01:17.6,01:17.4
7487,986,807,4,27,8,01:18.3,01:17.8,01:17.5
7488,986,832,4,55,9,01:18.4,01:17.8,01:17.8
7489,986,815,10,11,10,01:18.0,01:17.9,01:17.8
7490,986,13,3,19,11,01:18.6,01:18.1,\N
7491,986,840,3,18,12,01:18.9,01:19.2,\N
7492,986,843,5,28,13,01:18.7,\N,\N
7493,986,4,1,14,14,01:17.7,\N,\N
7494,986,838,1,2,15,01:18.6,\N,\N
7495,986,828,15,9,16,01:19.2,\N,\N
7496,986,836,15,94,17,01:19.3,\N,\N
7497,986,825,210,20,18,01:19.4,\N,\N
7498,986,154,210,8,19,01:19.5,\N,\N
7499,987,822,131,77,1,01:09.5,01:08.6,01:08.3
7500,987,20,6,5,2,01:09.6,01:08.5,01:08.4
7501,987,8,6,7,3,01:09.4,01:09.1,01:08.5
7502,987,830,9,33,4,01:09.8,01:09.0,01:08.9
7503,987,817,9,3,5,01:09.8,01:09.5,01:09.3
7504,987,815,10,11,6,01:10.1,01:09.8,01:09.6
7505,987,4,1,14,7,01:10.2,01:09.6,01:09.6
7506,987,807,4,27,8,01:10.1,01:09.7,01:09.7
7507,987,832,4,55,9,01:10.2,01:09.8,01:09.8
7508,987,13,3,19,10,01:09.8,01:09.6,01:09.8
7509,987,839,10,31,11,01:10.2,01:09.8,
7510,987,154,210,8,12,01:10.1,01:09.9,
7511,987,838,1,2,13,01:10.3,01:10.1,
7512,987,825,210,20,14,01:10.5,01:10.2,
7513,987,843,5,28,15,01:10.6,,
7514,987,836,15,94,16,01:10.7,,
7515,987,842,5,10,17,01:10.7,,
7516,987,840,3,18,18,01:10.8,,
7517,987,828,15,9,19,01:10.9,,
7520,988,822,131,77,1,01:37.4,01:36.8,01:36.2
7519,987,1,131,44,20,\N,\N,\N
7521,988,1,131,44,2,01:37.4,01:36.7,01:36.4
7522,988,20,6,5,3,01:37.8,01:37.0,01:36.8
7523,988,817,9,3,4,01:38.0,01:37.6,01:37.0
7524,988,8,6,7,5,01:37.5,01:37.3,01:37.0
7525,988,830,9,33,6,01:38.0,01:37.8,01:37.3
7526,988,807,4,27,7,01:38.8,01:38.1,01:38.3
7527,988,815,10,11,8,01:38.6,01:38.4,01:38.4
7528,988,839,10,31,9,01:38.9,01:38.4,01:38.4
7529,988,13,3,19,10,01:38.6,01:38.6,01:38.6
7530,988,4,1,14,11,01:38.8,01:38.6,\N
7531,988,832,4,55,12,01:38.8,01:38.7,\N
7532,988,838,1,2,13,01:38.8,01:38.8,\N
7533,988,825,210,20,14,01:39.4,01:39.3,\N
7534,988,840,3,18,15,01:39.5,01:39.6,\N
7535,988,154,210,8,16,01:39.5,\N,\N
7536,988,842,5,10,17,01:39.7,\N,\N
7537,988,836,15,94,18,01:39.9,\N,\N
7538,988,828,15,9,19,01:40.0,\N,\N
7539,988,843,5,28,20,01:40.5,\N,\N
7540,989,1,131,44,1,01:22.8,01:22.1,01:21.2
7541,989,8,6,7,2,01:23.1,01:22.5,01:21.8
7542,989,20,6,5,3,01:23.3,01:21.9,01:21.8
7543,989,830,9,33,4,01:23.5,01:22.4,01:21.9
7544,989,817,9,3,5,01:23.5,01:22.9,01:22.2
7545,989,825,210,20,6,01:23.9,01:23.3,01:23.2
7546,989,154,210,8,7,01:23.7,01:23.5,01:23.3
7547,989,807,4,27,8,01:23.8,01:23.5,01:23.5
7548,989,832,4,55,9,01:23.5,01:23.1,01:23.6
7549,989,822,131,77,10,01:23.7,01:22.1,
7550,989,4,1,14,11,01:23.6,01:23.7,
7551,989,838,1,2,12,01:24.1,01:23.9,
7552,989,815,10,11,13,01:24.3,01:24.0,
7553,989,840,3,18,14,01:24.5,01:24.2,
7554,989,839,10,31,15,01:24.5,01:24.8,
7555,989,843,5,28,16,01:24.5,,
7556,989,828,15,9,17,01:24.6,,
7557,989,844,15,16,18,01:24.6,,
7558,989,845,3,35,19,01:24.9,,
7559,989,842,5,10,20,01:25.3,,
7560,990,20,6,5,1,01:29.1,01:28.3,01:28.0
7561,990,8,6,7,2,01:29.0,01:28.5,01:28.1
7562,990,822,131,77,3,01:29.3,01:28.8,01:28.1
7563,990,1,131,44,4,01:29.4,01:28.5,01:28.2
7564,990,817,9,3,5,01:29.6,01:29.0,01:28.4
7565,990,842,5,10,6,01:30.1,01:29.8,01:29.3
7566,990,825,210,20,7,01:29.6,01:29.6,01:29.4
7567,990,807,4,27,8,01:30.3,01:29.2,01:29.6
7568,990,839,10,31,9,01:30.3,01:30.0,01:29.9
7569,990,832,4,55,10,01:29.9,01:29.8,01:30.0
7570,990,843,5,28,11,01:30.4,01:30.1,\N
7571,990,815,10,11,12,01:30.2,01:30.2,\N
7572,990,4,1,14,13,01:30.5,01:30.2,\N
7573,990,838,1,2,14,01:30.5,01:30.5,\N
7574,990,830,9,33,15,01:29.4,\N,\N
7575,990,154,210,8,16,01:30.5,\N,\N
7576,990,828,15,9,17,01:31.1,\N,\N
7577,990,845,3,35,18,01:31.4,\N,\N
7578,990,844,15,16,19,01:31.4,\N,\N
7579,990,840,3,18,20,01:31.5,\N,\N
7580,991,20,6,5,1,01:32.2,01:32.4,01:31.1
7581,991,8,6,7,2,01:32.5,01:32.3,01:31.2
7582,991,822,131,77,3,01:32.9,01:32.1,01:31.6
7583,991,1,131,44,4,01:33.3,01:31.9,01:31.7
7584,991,830,9,33,5,01:32.9,01:32.8,01:31.8
7585,991,817,9,3,6,01:33.9,01:32.7,01:31.9
7586,991,807,4,27,7,01:33.5,01:32.5,01:32.5
7587,991,815,10,11,8,01:33.5,01:32.9,01:32.8
7588,991,832,4,55,9,01:33.3,01:33.0,01:32.8
7589,991,154,210,8,10,01:33.2,01:32.5,01:32.9
7590,991,825,210,20,11,01:33.4,01:33.0,\N
7591,991,839,10,31,12,01:33.6,01:33.1,\N
7592,991,4,1,14,13,01:33.4,01:33.2,\N
7593,991,838,1,2,14,01:33.8,01:33.5,\N
7594,991,843,5,28,15,01:34.0,01:33.8,\N
7595,991,845,3,35,16,01:34.1,\N,\N
7596,991,842,5,10,17,01:34.1,\N,\N
7597,991,840,3,18,18,01:34.3,\N,\N
7598,991,844,15,16,19,01:34.5,\N,\N
7599,991,828,15,9,20,01:34.9,\N,\N
7600,992,20,6,5,1,01:42.8,01:43.0,01:41.5
7601,992,1,131,44,2,01:42.7,01:42.7,01:41.7
7602,992,822,131,77,3,01:43.4,01:42.7,01:41.8
7603,992,817,9,3,4,01:42.9,01:43.5,01:41.9
7604,992,830,9,33,5,01:42.6,01:42.9,01:42.0
7605,992,8,6,7,6,01:42.5,01:42.5,01:42.5
7606,992,839,10,31,7,01:43.0,01:43.0,01:42.5
7607,992,815,10,11,8,01:44.0,01:43.4,01:42.5
7608,992,807,4,27,9,01:43.7,01:43.2,01:43.1
7609,992,832,4,55,10,01:43.4,01:43.5,01:43.4
7610,992,840,3,18,11,01:44.4,01:43.6,
7611,992,845,3,35,12,01:44.3,01:43.9,
7612,992,4,1,14,13,01:44.0,01:44.0,
7613,992,844,15,16,14,01:43.8,01:44.1,
7614,992,825,210,20,15,01:43.7,01:44.8,
7615,992,838,1,2,16,01:44.5,,
7616,992,842,5,10,17,01:44.5,,
7617,992,828,15,9,18,01:45.5,,
7618,992,843,5,28,19,01:57.4,\N,\N
7619,992,154,210,8,20,\N,\N,\N
7620,993,1,131,44,1,01:17.6,01:17.2,01:16.2
7621,993,822,131,77,2,01:17.7,01:17.1,01:16.2
7622,993,20,6,5,3,01:17.0,01:16.8,01:16.3
7623,993,8,6,7,4,01:17.5,01:17.1,01:16.6
7624,993,830,9,33,5,01:17.4,01:17.3,01:16.8
7625,993,817,9,3,6,01:17.6,01:17.6,01:16.8
7626,993,825,210,20,7,01:18.2,01:17.6,01:17.7
7627,993,4,1,14,8,01:18.3,01:18.1,01:17.7
7628,993,832,4,55,9,01:18.5,01:17.8,01:17.8
7629,993,154,210,8,10,01:18.3,01:17.7,01:17.8
7630,993,838,1,2,11,01:18.9,01:18.3,
7631,993,842,5,10,12,01:18.5,01:18.5,
7632,993,839,10,31,13,01:18.8,01:18.7,
7633,993,844,15,16,14,01:18.7,01:18.9,
7634,993,815,10,11,15,01:18.7,01:19.1,
7635,993,807,4,27,16,01:18.9,,
7636,993,828,15,9,17,01:19.5,,
7637,993,845,3,35,18,01:19.7,,
7638,993,840,3,18,19,01:20.2,,
7639,993,843,5,28,20,,,
7640,994,817,9,3,1,01:12.0,01:11.3,01:10.8
7641,994,20,6,5,2,01:12.4,01:11.5,01:11.0
7642,994,1,131,44,3,01:12.5,01:11.6,01:11.2
7643,994,8,6,7,4,01:12.6,01:11.4,01:11.3
7644,994,4,1,14,7,01:12.7,01:12.3,01:12.1
7645,994,832,4,55,8,01:13.0,01:12.3,01:12.1
7646,994,815,10,11,9,01:12.8,01:12.2,01:12.2
7647,994,842,5,10,10,01:12.9,01:12.3,01:12.2
7648,994,838,1,2,12,01:12.5,01:12.4,
7649,994,845,3,35,13,01:12.7,01:12.5,
7650,994,844,15,16,14,01:12.8,01:12.7,
7651,994,154,210,8,15,01:12.9,01:12.7,
7652,994,843,5,28,16,01:13.2,,
7653,994,828,15,9,17,01:13.3,,
7654,994,840,3,18,18,01:13.3,,
7655,994,825,210,20,19,01:13.4,,
7656,994,830,9,33,20,,,
7657,994,822,131,77,5,01:12.4,01:12.0,01:11.4
7658,994,839,10,31,6,01:13.0,01:12.2,01:12.1
7659,994,807,4,27,11,01:13.1,01:12.4,
7660,995,20,6,5,1,01:11.7,01:11.5,01:10.8
7661,995,822,131,77,2,01:11.9,01:11.5,01:10.9
7662,995,830,9,33,3,01:12.0,01:11.5,01:10.9
7663,995,1,131,44,4,01:11.8,01:11.7,01:11.0
7664,995,8,6,7,5,01:11.7,01:11.6,01:11.1
7665,995,817,9,3,6,01:12.5,01:11.4,01:11.1
7666,995,807,4,27,7,01:12.8,01:11.9,01:12.0
7667,995,839,10,31,8,01:12.6,01:12.1,01:12.1
7668,995,832,4,55,9,01:12.7,01:12.1,01:12.2
7669,995,815,10,11,10,01:12.7,01:12.4,01:12.7
7670,995,843,5,28,12,01:12.6,01:12.6,
7671,995,4,1,14,14,01:13.0,01:12.9,
7672,995,838,1,2,15,01:13.0,01:12.9,
7673,995,842,5,10,16,01:13.0,,
7674,995,840,3,18,17,01:13.6,,
7675,995,845,3,35,18,01:13.6,,
7676,995,828,15,9,19,01:14.6,,
7677,995,154,210,8,20,,,
7678,995,825,210,20,11,01:12.7,01:12.6,\N
7679,995,844,15,16,13,01:12.9,01:12.7,\N
7680,996,1,131,44,1,01:31.3,01:30.6,01:30.0
7681,996,822,131,77,2,01:31.8,01:31.2,01:30.1
7682,996,20,6,5,3,01:31.8,01:30.8,01:30.4
7683,996,830,9,33,4,01:31.5,01:30.8,01:30.7
7684,996,817,9,3,5,01:31.9,01:31.5,01:30.9
7685,996,8,6,7,6,01:31.6,01:30.8,01:31.1
7686,996,832,4,55,7,01:32.4,01:32.0,01:32.1
7687,996,844,15,16,8,01:32.5,01:32.1,01:32.6
7688,996,825,210,20,9,01:32.2,01:31.5,01:32.9
7689,996,154,210,8,10,01:32.1,01:31.5,\N
7690,996,839,10,31,11,01:32.8,01:32.1,\N
7691,996,807,4,27,12,01:32.9,01:32.1,\N
7692,996,815,10,11,13,01:32.7,01:32.5,\N
7693,996,842,5,10,14,01:32.4,01:32.5,\N
7694,996,828,15,9,15,01:32.8,01:32.8,\N
7695,996,4,1,14,16,01:33.0,\N,\N
7696,996,843,5,28,17,01:33.0,\N,\N
7697,996,838,1,2,18,01:33.2,\N,\N
7698,996,845,3,35,19,01:33.6,\N,\N
7699,996,840,3,18,20,01:33.7,\N,\N
7700,997,822,131,77,1,01:04.2,01:03.8,01:03.1
7701,997,1,131,44,2,01:04.1,01:03.6,01:03.1
7702,997,20,6,5,3,01:04.3,01:03.5,01:03.5
7703,997,8,6,7,4,01:04.2,01:04.0,01:03.7
7704,997,830,9,33,5,01:04.3,01:04.0,01:03.8
7705,997,154,210,8,6,01:04.2,01:04.1,01:03.9
7706,997,817,9,3,7,01:04.7,01:04.4,01:04.0
7707,997,825,210,20,8,01:04.5,01:04.3,01:04.1
7708,997,832,4,55,9,01:04.9,01:04.6,01:04.7
7709,997,807,4,27,10,01:04.9,01:04.7,01:05.0
7710,997,839,10,31,11,01:05.1,01:04.8,\N
7711,997,842,5,10,12,01:05.0,01:04.9,\N
7712,997,844,15,16,13,01:05.0,01:05.0,\N
7713,997,4,1,14,14,01:05.0,01:05.1,\N
7714,997,840,3,18,15,01:05.3,01:05.3,\N
7715,997,838,1,2,16,01:05.3,\N,\N
7716,997,815,10,11,17,01:05.3,\N,\N
7717,997,845,3,35,18,01:05.3,\N,\N
7718,997,843,5,28,19,01:05.4,\N,\N
7719,997,828,15,9,20,01:05.5,\N,\N
7720,998,1,131,44,1,01:26.8,01:26.3,01:25.9
7721,998,20,6,5,2,01:26.6,01:26.4,01:25.9
7722,998,8,6,7,3,01:27.5,01:26.5,01:26.0
7723,998,822,131,77,4,01:27.0,01:26.4,01:26.2
7724,998,830,9,33,5,01:27.3,01:27.0,01:26.6
7725,998,817,9,3,6,01:28.0,01:27.4,01:27.1
7726,998,825,210,20,7,01:28.1,01:27.7,01:27.2
7727,998,154,210,8,8,01:28.1,01:27.5,01:27.5
7728,998,844,15,16,9,01:28.0,01:27.8,01:27.9
7729,998,839,10,31,10,01:28.3,01:27.8,01:28.2
7730,998,807,4,27,11,01:28.0,01:27.9,
7731,998,815,10,11,12,01:28.2,01:27.9,
7732,998,4,1,14,13,01:28.2,01:28.1,
7733,998,842,5,10,14,01:28.4,01:28.3,
7734,998,828,15,9,15,01:28.2,01:28.4,
7735,998,832,4,55,16,01:28.5,,
7736,998,838,1,2,17,01:29.1,,
7737,998,845,3,35,18,01:29.3,,
7738,998,840,3,18,19,\N,\N,\N
7739,998,843,5,28,20,\N,\N,\N
7740,999,20,6,5,1,01:12.5,01:12.5,01:11.2
7741,999,822,131,77,2,01:13.0,01:12.2,01:11.4
7742,999,8,6,7,3,01:12.5,01:12.3,01:11.5
7743,999,830,9,33,4,01:13.1,01:12.2,01:11.8
7744,999,825,210,20,5,01:13.1,01:12.5,01:12.2
7745,999,154,210,8,6,01:13.0,01:12.7,01:12.5
7746,999,807,4,27,7,01:13.5,01:12.9,01:12.6
7747,999,832,4,55,8,01:13.3,01:13.0,01:12.7
7748,999,844,15,16,9,01:13.1,01:13.0,01:12.7
7749,999,815,10,11,10,01:13.4,01:13.1,01:12.8
7750,999,4,1,14,11,01:13.6,01:13.7,\N
7751,999,845,3,35,12,01:13.7,01:13.7,\N
7752,999,828,15,9,13,01:13.6,01:13.7,\N
7753,999,1,131,44,14,01:13.0,\N,\N
7754,999,817,9,3,15,01:13.3,\N,\N
7755,999,839,10,31,16,01:13.7,\N,\N
7756,999,842,5,10,17,01:13.7,\N,\N
7757,999,843,5,28,18,01:14.0,\N,\N
7758,999,840,3,18,19,01:14.2,\N,\N
7759,999,838,1,2,20,01:14.4,\N,\N
7760,1000,8,6,7,3,01:17.5,01:32.8,01:36.2
7761,1000,20,6,5,4,01:16.7,01:28.6,01:36.2
7762,1000,832,4,55,5,01:17.8,01:30.8,01:36.7
7763,1000,842,5,10,6,01:18.6,01:31.3,01:37.6
7764,1000,830,9,33,7,01:16.9,01:31.2,01:38.0
7765,1000,843,5,28,8,01:18.4,01:32.6,01:38.1
7766,1000,825,210,20,9,01:18.3,01:33.0,01:39.9
7767,1000,154,210,8,10,01:17.9,01:33.7,01:40.6
7768,1000,4,1,14,11,01:18.2,01:35.2,
7769,1000,817,9,3,12,01:18.5,01:36.4,
7770,1000,807,4,27,13,01:17.9,01:36.5,
7771,1000,828,15,9,14,01:18.6,01:37.1,
7772,1000,840,3,18,15,01:18.6,,
7773,1000,838,1,2,16,01:18.8,,
7774,1000,844,15,16,17,01:18.8,,
7775,1000,839,10,31,18,01:19.1,,
7776,1000,815,10,11,19,01:19.2,,
7777,1000,845,3,35,20,01:19.3,,
7778,1000,1,131,44,1,01:17.4,01:31.2,01:35.7
7779,1000,822,131,77,2,01:17.1,01:32.1,01:35.9
7780,1001,1,131,44,1,01:43.0,01:41.6,01:58.2
7781,1001,20,6,5,2,01:43.0,01:41.5,01:58.9
7782,1001,839,10,31,3,01:44.0,01:43.3,02:01.9
7783,1001,815,10,11,4,01:44.0,01:43.0,02:01.9
7784,1001,154,210,8,5,01:43.6,01:43.0,02:02.1
7785,1001,8,6,7,6,01:42.6,01:41.5,02:02.7
7786,1001,830,9,33,7,01:43.2,01:42.6,02:02.8
7787,1001,817,9,3,8,01:43.6,01:43.1,02:02.9
7788,1001,825,210,20,9,01:43.8,01:43.3,02:04.9
7789,1001,822,131,77,10,01:42.8,01:42.2,\N
7790,1001,842,5,10,11,01:44.2,01:43.8,\N
7791,1001,843,5,28,12,01:44.2,01:43.9,\N
7792,1001,844,15,16,13,01:43.7,01:44.1,\N
7793,1001,828,15,9,14,01:43.8,01:44.3,\N
7794,1001,807,4,27,15,01:44.1,\N,\N
7795,1001,832,4,55,16,01:44.5,\N,\N
7796,1001,4,1,14,17,01:44.9,\N,\N
7797,1001,845,3,35,18,01:45.0,\N,\N
7798,1001,840,3,18,19,01:45.1,\N,\N
7799,1001,838,1,2,20,01:45.3,\N,\N
7800,1002,8,6,7,1,01:20.7,01:19.8,01:19.1
7801,1002,20,6,5,2,01:20.5,01:19.6,01:19.3
7802,1002,1,131,44,3,01:20.8,01:19.8,01:19.3
7803,1002,822,131,77,4,01:21.4,01:20.4,01:19.7
7804,1002,830,9,33,5,01:21.4,01:20.3,01:20.6
7805,1002,154,210,8,6,01:21.9,01:21.2,01:20.9
7806,1002,832,4,55,7,01:21.7,01:21.6,01:21.0
7807,1002,839,10,31,8,01:21.6,01:21.3,01:21.1
7808,1002,842,5,10,9,01:21.8,01:21.7,01:21.4
7809,1002,840,3,18,10,01:21.8,01:21.5,01:21.6
7810,1002,825,210,20,11,01:21.8,01:21.7,\N
7811,1002,845,3,35,12,01:21.8,01:21.7,\N
7812,1002,4,1,14,13,01:21.9,01:22.6,\N
7813,1002,807,4,27,14,01:21.8,\N,\N
7814,1002,817,9,3,15,01:21.3,\N,\N
7815,1002,815,10,11,16,01:21.9,\N,\N
7816,1002,844,15,16,17,01:21.9,\N,\N
7817,1002,843,5,28,18,01:21.9,\N,\N
7818,1002,828,15,9,19,01:22.0,\N,\N
7819,1002,838,1,2,20,01:22.1,\N,\N
7820,1003,1,131,44,1,01:39.4,01:37.3,01:36.0
7821,1003,830,9,33,2,01:38.8,01:37.2,01:36.3
7822,1003,20,6,5,3,01:38.2,01:37.9,01:36.6
7823,1003,822,131,77,4,01:39.3,01:37.3,01:36.7
7824,1003,8,6,7,5,01:38.5,01:37.2,01:36.8
7825,1003,817,9,3,6,01:38.2,01:37.4,01:37.0
7826,1003,815,10,11,7,01:38.8,01:38.3,01:38.0
7827,1003,154,210,8,8,01:38.7,01:38.4,01:38.3
7828,1003,839,10,31,9,01:38.9,01:38.5,01:38.4
7829,1003,807,4,27,10,01:38.9,01:38.5,01:38.6
7830,1003,4,1,14,11,01:39.0,01:38.6,
7831,1003,832,4,55,12,01:39.1,01:38.7,
7832,1003,844,15,16,13,01:39.2,01:38.7,
7833,1003,828,15,9,14,01:39.4,01:39.5,
7834,1003,842,5,10,15,01:39.6,01:39.7,
7835,1003,825,210,20,16,01:39.6,,
7836,1003,843,5,28,17,01:39.8,,
7837,1003,838,1,2,18,01:39.9,,
